t,theta,omega,drive_force_c
29.32,0.35336741063283955,-2.2420272137785093,0.9444444444444444
29.330000000000002,0.33091226108619937,-2.248953280122801,0.9444444444444444
29.34,0.30838933944369734,-2.255581088235545,0.9444444444444444
29.35,0.285801641535275,-2.261908102206832,0.9444444444444444
29.36,0.2631521874522853,-2.267931921896677,0.9444444444444444
29.37,0.24044402128357356,-2.2736502835080903,0.9444444444444444
29.38,0.21768020781260755,-2.279061067004275,0.9444444444444444
29.39,0.19486383215353217,-2.2841622970203708,0.9444444444444444
29.400000000000002,0.17199799949308048,-2.2889521433235074,0.9444444444444444
29.41,0.1490858322482589,-2.2934289265584518,0.9444444444444444
29.42,0.12613046952386994,-2.297591119535405,0.9444444444444444
29.43,0.10313506375681537,-2.3014373517703186,0.9444444444444444
29.44,0.08010278007424927,-2.304966410485344,0.9444444444444444
29.45,0.05703679598765371,-2.308177240900963,0.9444444444444444
29.46,0.03394029848181333,-2.311068949606206,0.9444444444444444
29.47,0.01081648319008461,-2.313640805534731,0.9444444444444444
29.48,-0.012331448913496301,-2.315892241936797,0.9444444444444444
29.490000000000002,-0.03550029204733805,-2.3178228567849346,0.9444444444444444
29.5,-0.058686836242706736,-2.3194324129137285,0.9444444444444444
29.51,-0.08188787025366484,-2.3207208392731773,0.9444444444444444
29.52,-0.10510018270642714,-2.32168823091096,0.9444444444444444
29.53,-0.12832056506609538,-2.322334848661555,0.9444444444444444
29.54,-0.1515458118464043,-2.322661119154524,0.9444444444444444
29.55,-0.1747727220818936,-2.3226676341188766,0.9444444444444444
29.560000000000002,-0.1979981014607285,-2.322355150040663,0.9444444444444444
29.57,-0.22121876438796878,-2.32172458619623,0.9444444444444444
29.580000000000002,-0.2444315360456043,-2.3207770230127305,0.9444444444444444
29.59,-0.2676332524476588,-2.319513701995425,0.9444444444444444
29.6,-0.29082076274999397,-2.3179360229946027,0.9444444444444444
29.61,-0.31399093041802517,-2.3160455434207905,0.9444444444444444
29.62,-0.33714063609599354,-2.3138439732762053,0.9444444444444444
29.63,-0.36026677873233803,-2.3113331733960067,0.9444444444444444
29.64,-0.3833662757275936,-2.308515155122812,0.9444444444444444
29.650000000000002,-0.4064360654837761,-2.305392075307375,0.9444444444444444
29.66,-0.4294731081538573,-2.3019662353025576,0.9444444444444444
29.67,-0.4524743885277974,-2.298240073344458,0.9444444444444444
29.68,-0.47543691676820876,-2.2942161627628344,0.9444444444444444
29.69,-0.49835772855301663,-2.289897211523543,0.9444444444444444
29.7,-0.5212338874954252,-2.285286055190484,0.9444444444444444
29.71,-0.5440624856704233,-2.280385655994001,0.9444444444444444
29.72,-0.5668406461898401,-2.2751990930743817,0.9444444444444444
29.73,-0.5895655238867386,-2.269729560086696,0.9444444444444444
29.740000000000002,-0.6122343053512295,-2.2639803650367014,0.9444444444444444
29.75,-0.6348442108526217,-2.2579549222156228,0.9444444444444444
